date,state-ids,death,hospitalized,negative,positive
2020-10-06,6,16177,,14601960,828461
2020-10-06,7,1968,7693,889084,73537
2020-10-06,8,4521,11699,1685193,59241
2020-10-06,9,631,,394377,15652
2020-10-06,10,646,,276047,21466
2020-10-06,11,14945,45519,4713453,720125
2020-10-06,12,7229,29154,2720142,324650
2020-10-06,13,55,,50198,2814
2020-10-06,14,157,889,293987,13041
2020-10-06,15,1400,,700909,89934
2020-10-06,16,487,1911,279814,44422
2020-10-06,17,9085,,5669458,307750
2020-10-06,18,3711,13324,1305273,126946
2020-10-06,19,706,3036,478398,62708
2020-10-06,20,1218,5622,1401560,74194
2020-10-06,21,5592,,2233311,170469
2020-10-06,22,9538,12775,2197297,135957
2020-10-06,23,3967,15791,1547023,128204
2020-10-06,24,142,457,463655,5565
2020-10-06,25,7161,,3701084,143878
2020-10-06,26,2140,8020,1396996,105740
2020-10-06,27,2200,,1232556,134583
2020-10-06,28,2,4,15121,75
2020-10-06,29,3013,6053,704655,100703
2020-10-06,30,192,773,357373,15347
2020-10-06,31,3670,,2995428,221258
2020-10-06,32,217,968,225723,24364
2020-10-06,33,503,2407,432754,48259
2020-10-06,34,446,743,274740,8731
2020-10-06,35,16147,23577,3549345,209342
2020-10-06,36,894,3581,923964,30632
2020-10-06,37,1629,,635816,82916
2020-10-06,38,25536,89995,10926475,466908
2020-10-06,39,4947,15972,3266673,161299
2020-10-06,40,1066,6816,1186715,93346
2020-10-06,41,581,2680,678058,35340
2020-10-06,42,8244,,1951992,165243
2020-10-06,43,696,,305972,51737
2020-10-06,44,1125,2849,328485,25596
2020-10-06,45,3471,9331,1250166,152970
2020-10-06,46,248,1670,176601,24876
2020-10-06,47,2621,8976,2834907,205375
2020-10-06,48,16111,,5862813,773435
2020-10-06,49,488,4058,796162,79439
2020-10-06,50,3291,19038,2009181,153182
2020-10-06,51,20,,20155,1322
2020-10-06,52,58,,165620,1821
2020-10-06,53,2158,7622,1861131,90276
2020-10-06,54,1410,7810,1482116,143730
2020-10-06,55,364,,582617,16936
2020-10-06,56,53,304,99912,6770
2020-10-05,1,58,,469787,9587
2020-10-05,2,2559,17699,1026591,159713
2020-10-05,3,1447,5586,995446,87430
2020-10-05,4,0,,1616,0
2020-10-05,5,5707,22303,1286540,221070
2020-10-05,6,16149,,14474897,826784
2020-10-05,7,1968,7673,882743,73076
2020-10-05,8,4517,11699,1667601,59120
2020-10-05,9,631,,386021,15547
2020-10-05,10,645,,274472,21363
2020-10-05,11,14886,45282,4694809,717874
2020-10-05,12,7192,28987,2709043,323714
2020-10-05,13,55,,49612,2753
2020-10-05,14,156,889,293121,12991
2020-10-05,15,1389,,698554,89460
2020-10-05,16,482,1903,278445,43964
2020-10-05,17,9054,,5621562,306133
2020-10-05,18,3681,13239,1299199,125976
2020-10-05,19,706,3036,478398,62708
2020-10-05,20,1214,5557,1390120,73158
2020-10-05,21,5586,,2221083,169937
2020-10-05,22,9530,12755,2184966,135462
2020-10-05,23,3961,15745,1540526,127791
2020-10-05,24,142,454,461137,5545
2020-10-05,25,7139,,3676101,142726
2020-10-05,26,2136,7940,1389378,104799
2020-10-05,27,2174,,1225250,133418
2020-10-05,28,2,4,15121,75
2020-10-05,29,3013,6053,704655,100703
2020-10-05,30,190,754,355128,14847
2020-10-05,31,3637,,2974162,219754
2020-10-05,32,191,939,224790,23862
2020-10-05,33,501,2397,429145,47807
2020-10-05,34,444,743,272979,8680
2020-10-05,35,16138,23577,3549345,208713
2020-10-05,36,892,3561,917468,30477
2020-10-05,37,1623,,634127,82437
2020-10-05,38,25527,89995,10831509,465515
2020-10-05,39,4931,15840,3228222,159964
2020-10-05,40,1055,6674,1157074,91982
2020-10-05,41,572,2657,673963,35049
2020-10-05,42,8227,,1940952,164207
2020-10-05,43,695,,305972,51305
2020-10-05,44,1121,2835,325842,25419
2020-10-05,45,3456,9283,1236947,152159
2020-10-05,46,248,1642,175845,24598
2020-10-05,47,2597,8923,2810965,203699
2020-10-05,48,16033,,5802374,769303
2020-10-05,49,482,4019,787457,78723
2020-10-05,50,3276,18818,1995552,152557
2020-10-05,51,20,,20155,1322
2020-10-05,52,58,,165689,1817
2020-10-05,53,2142,7628,1846025,89874
2020-10-05,54,1392,7702,1472577,141655
2020-10-05,55,361,,579789,16742
2020-10-05,56,53,294,99533,6629
2020-10-04,1,58,,467442,9376
2020-10-04,2,2558,17420,1022073,159169
2020-10-04,3,1425,5550,989037,87013
2020-10-04,4,0,,1616,0
2020-10-04,5,5706,22294,1280104,220754
2020-10-04,6,16120,,14336558,823729
2020-10-04,7,1968,7666,874840,72555
2020-10-04,8,4513,11699,1618113,58297
2020-10-04,9,631,,384306,15519
2020-10-04,10,645,,272846,21243
2020-10-04,11,14845,45215,4680415,716459
2020-10-04,12,7162,28958,2695693,322925
2020-10-04,13,52,,49057,2699
2020-10-04,14,153,885,291228,12921
2020-10-04,15,1382,,696471,89096
2020-10-04,16,480,1900,276876,43702
2020-10-04,17,9040,,5584877,304280
2020-10-04,18,3674,13148,1292917,125146
2020-10-04,19,698,2983,470006,61111
2020-10-04,20,1209,5362,1371855,72617
2020-10-04,21,5577,,2213951,169719
2020-10-04,22,9510,12749,2174166,134947
2020-10-04,23,3958,15705,1532557,127290
2020-10-04,24,142,454,443822,5519
2020-10-04,25,7124,,3623003,141271
2020-10-04,26,2133,7887,1376393,103826
2020-10-04,27,2173,,1218314,132431
2020-10-04,28,2,4,15112,73
2020-10-04,29,3013,5975,638843,100488
2020-10-04,30,187,744,342778,14635
2020-10-04,31,3634,,2943472,217496
2020-10-04,32,191,925,224042,23550
2020-10-04,33,497,2388,425950,47403
2020-10-04,34,443,743,270967,8645
2020-10-04,35,16136,23560,3525892,208202
2020-10-04,36,890,3549,911216,30296
2020-10-04,37,1623,,631289,82100
2020-10-04,38,25519,89995,10756038,464582
2020-10-04,39,4925,15767,3197768,158907
2020-10-04,40,1052,6570,1157074,91317
2020-10-04,41,572,2618,670666,34770
2020-10-04,42,8216,,1931635,163535
2020-10-04,43,686,,305972,50675
2020-10-04,44,1120,2835,325201,25369
